23:18:30.673 [main] INFO  main.java.client.Client - Começou!
23:18:31.250 [Thread-86] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=8700.000000000002 Result= 833715.0222940716 Tempo=311
23:18:31.251 [Thread-70] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=7100.000000000001 Result= 833715.0334750498 Tempo=350
23:18:31.255 [Thread-93] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=9400.0 Result= 833715.0190974735 Tempo=312
23:18:31.256 [Thread-82] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=8300.0 Result= 833715.0244948886 Tempo=319
23:18:31.274 [Thread-75] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=7600.000000000001 Result= 833715.029215185 Tempo=347
23:18:31.276 [Thread-76] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=7700.0 Result= 833715.0284615502 Tempo=348
23:18:31.276 [Thread-92] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=9300.0 Result= 833715.0195100578 Tempo=334
23:18:31.278 [Thread-97] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=9800.0 Result= 833715.0175708616 Tempo=332
23:18:31.281 [Thread-94] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=9500.0 Result= 833715.0186977386 Tempo=337
23:18:31.281 [Thread-79] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=8000.0 Result= 833715.0263665855 Tempo=351
23:18:31.282 [Thread-87] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=8800.0 Result= 833715.0217906378 Tempo=343
23:18:31.283 [Thread-84] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=8500.0 Result= 833715.023355207 Tempo=345
23:18:31.285 [Thread-91] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=9200.000000000002 Result= 833715.0199368641 Tempo=343
23:18:31.288 [Thread-89] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=9000.0 Result= 833715.0208329678 Tempo=347
23:18:31.289 [Thread-83] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=8400.0 Result= 833715.0239152855 Tempo=351
23:18:31.288 [Thread-98] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=9900.0 Result= 833715.0172170202 Tempo=338
23:18:31.290 [Thread-90] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=9100.0 Result= 833715.0203779356 Tempo=349
23:18:31.290 [Thread-96] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=9700.000000000002 Result= 833715.0179341204 Tempo=345
23:18:31.291 [Thread-71] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=7200.0 Result= 833715.0325511589 Tempo=390
23:18:31.292 [Thread-85] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=8600.0 Result= 833715.0228152684 Tempo=353
23:18:31.304 [Thread-99] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=10000.0 Result= 833715.0168738335 Tempo=353
23:18:31.304 [Thread-88] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=8900.0 Result= 833715.0213040657 Tempo=364
